epoch,train_loss,val_auroc,val_auprc
1,0.21088,0.5490,0.0590
2,0.18318,0.5793,0.0681
3,0.18204,0.6035,0.0762
4,0.18096,0.6118,0.0798
5,0.18011,0.6232,0.0832
6,0.17940,0.6349,0.0855
7,0.17878,0.6376,0.0877
8,0.17845,0.6366,0.0886
9,0.17810,0.6428,0.0891
10,0.17783,0.6482,0.0905
11,0.17748,0.6487,0.0909
12,0.17752,0.6431,0.0909
13,0.17751,0.6495,0.0923
14,0.17703,0.6445,0.0922
15,0.17676,0.6495,0.0924
16,0.17676,0.6497,0.0926
17,0.17657,0.6534,0.0934
18,0.17655,0.6546,0.0941
19,0.17638,0.6472,0.0942
20,0.17632,0.6460,0.0937
21,0.17618,0.6521,0.0942
22,0.17617,0.6578,0.0944
23,0.17598,0.6500,0.0940
24,0.17596,0.6495,0.0943
25,0.17581,0.6545,0.0946
26,0.17578,0.6554,0.0945
27,0.17572,0.6584,0.0944
28,0.17553,0.6566,0.0944
29,0.17556,0.6564,0.0942
30,0.17548,0.6598,0.0951
31,0.17525,0.6623,0.0954
32,0.17531,0.6563,0.0955
33,0.17517,0.6590,0.0955
34,0.17508,0.6575,0.0953
35,0.17506,0.6573,0.0956
36,0.17499,0.6615,0.0954
37,0.17500,0.6557,0.0958
38,0.17495,0.6625,0.0956
39,0.17487,0.6625,0.0956
40,0.17482,0.6629,0.0957
41,0.17481,0.6599,0.0958
42,0.17475,0.6609,0.0958
43,0.17471,0.6605,0.0958
44,0.17467,0.6610,0.0958
45,0.17465,0.6609,0.0958
46,0.17464,0.6608,0.0958
47,0.17459,0.6608,0.0958
48,0.17459,0.6610,0.0958
49,0.17459,0.6610,0.0958
50,0.17456,0.6610,0.0958
